"","Supplier.Name","tot"
"1056","rockwell collins dba governme",6
"1057","rockwell collins dba governmen",8
"1058","rockwell collins div governmen",15
"1059","rockwell collins services",9
"1060","rolls - royce",38
"1061","rolls royce",7
"1062","rolls royce (aero repair & overhaul",12
"1063","rolls-royce",246
"1064","rolls-royce power engineering plc (",45
"1065","rosenbauer international",10
"1066","rosetta stone",10
"1067","royal mint",10
"1068","royal north shore hospital",11
"1069","royal prince alfred hospital",12
"1070","rpc telecommunications",6
"1071","rsa security ireland",5
"1072","rstudio",6
"1073","rtds technologies",10
"1074","ruag ammotec",6
"1075","rwm italia spa",10
"1076","saab",6
"1077","saab ab (publ) - electronic defence",13
"1078","saab barracuda",8
"1079","saab bofors dynamics",69
"1080","saab bofors dynamics ab infantry we",21
"1081","saab dynamics",59
"1082","saab microwave systems",20
"1083","saba software",8
"1084","sabre systems",15
"1085","safari books online",24
"1086","safariland",5
"1087","safe air",29
"1088","safe software",9
"1089","safe tactics",5
"1090","sage publications",7
"1091","sagem communication - groupe safran",20
"1092","sagem sa",8
"1093","sailpoint technologies",7
"1094","sandel avionics",18
"1095","sans institute",9
"1096","sans institute conference office",23
"1097","sarinz - search & rescue institute",11
"1098","saudi naval support",11
"1099","scaletta moloney armouring",6
"1100","scanditel",6
"1101","scanmar as",5
"1102","scheduall",7
"1103","schmidt & bender gmbh & kg",14
"1104","school of engineering cranfield un",18
"1105","schuler pressen",5
"1106","science applications international",11
"1107","sciencedirect",6
"1108","scientific software & systems",8
"1109","scribe software",6
"1110","search for common ground",5
"1111","seaview montville trust (peter deacon)",6
"1112","sececam",5
"1113","secondnature international",10
"1114","secretariat of the pacific community",21
"1115","secunia",5
"1116","securities industry delvelopment",6
"1117","seiler instrument and manufacturing",7
"1118","seismic micro - technology smt",6
"1119","selex communications",5
"1120","selex elsag",10
"1121","selex es",77
"1122","selex es spa",26
"1123","selex sistemi integrati",5
"1124","selex sistemi integrati spa",33
"1125","semco instruments",10
"1126","sensage",5
"1127","serious organisationed crime agency",6
"1128","seven seas shipchandlers",15
"1129","seven seas shipschandlers",335
"1130","sevencs",6
"1131","shanghai ao chang int' trade c",7
"1132","shanghai iactionconstruction decoration design engineering",5
"1133","shanghai spring international trade",11
"1134","shangri-la",6
"1135","shangri-la's fijian resort & spa",6
"1136","shanhai ao chang int trade",5
"1137","shape budfin",10
"1138","shark marine technologies",5
"1139","shell malaysia trading sdn bhd",19
"1140","shenzhen jingelangyi technology",5
"1141","sheraton bandung hotel & towers",8
"1142","sherrell ocean services",5
"1143","shoreside marine",17
"1144","siemens industry software pte",7
"1145","sikorsky aircraft",15
"1146","simpower",12
"1147","singapore airlines",6
"1148","singapore airshow & events pte",6
"1149","singapore food industries",7
"1150","singapore precision industries",5
"1151","singapore technologies marine",13
"1152","sir alister hardy foundation for oc",8
"1153","sir charles gairdner hospital",13
"1154","sir joseph isherwood",14
"1155","sirsidynix eos",7
"1156","sirtrack",9
"1157","sitrion",8
"1158","ska organisation",7
"1159","slm solutions",6
"1160","smartbear (ireland)",10
"1161","smartbear software",6
"1162","smartsat",6
"1163","social impact",6
"1164","software metrics dba dressage e",11
"1165","solarwinds software europe",12
"1166","solomon kitano hotel",7
"1167","sonobuoy techsystems",10
"1168","sopac - pacific applied geoscience commission",7
"1169","sourcefire",10
"1170","south pacific board for educational assessment (spbea)",14
"1171","south pacific oil",6
"1172","southeast asian ministers of",5
"1173","sp defense",6
"1174","space electronics",5
"1175","spaleck oberflachentechnik",9
"1176","specialist technologies",6
"1177","spectrum geo",7
"1178","sperian protection defense",5
"1179","spie-the intl society for optical e",12
"1180","splendour villas",8
"1181","splunk",23
"1182","springer",11
"1183","springer nature",6
"1184","sprout social",6
"1185","spyderco dba spyderco knives",6
"1186","squared up",5
"1187","sro solutions",7
"1188","st vincents hospital sydney",10
"1189","standard aero",7
"1190","starnet communications",5
"1191","stars (tl)",21
"1192","statewide oil distributor",10
"1193","statt consulting",9
"1194","steelfort engineering",26
"1195","stephen kidd",8
"1196","stephens alexandra",5
"1197","steward advanced materials",7
"1198","stichting deltares",6
"1199","stingray optics",6
"1200","stn-colombus",20
"1201","stockholm environment institute (sei)",6
"1202","stove properties",6
"1203","strategic technical services",7
"1204","stratfor",5
"1205","stratos",71
"1206","stratos (netherlands/usa)",7
"1207","sun test systems",22
"1208","supacat",167
"1209","supreme foodservice fze",13
"1210","surefire",46
"1211","survival systems",6
"1212","sustainable development solutions",8
"1213","switlik parachute",5
"1214","syarikat henson enterprise",6
"1215","sydney radiotherapy",9
"1216","symantec",63
"1217","sympatico solutions",7
"1218","synexe consulting",5
"1219","synthesys systems engineers",7
"1220","sypris electronics",13
"1221","system planning",22
"1222","systematic software engineering",15
"1223","systems & electronics",8
"1224","systems research and applications",6
"1225","tableau software",22
"1226","tactical support equipment",6
"1227","taiwan external trade development council",7
"1228","taj palace hotel",10
"1229","talent international (act)",7
"1230","tan siew chin sdn bhd",11
"1231","tan won chai & ong wang fei",8
"1232","tang mow",7
"1233","tanoa tusitala hotel",5
"1234","tanorama",6
"1235","tapestry solutions",15
"1236","tax analysts",11
"1237","te & jl deecke - usd",5
"1238","teamstudio",11
"1239","technical scholarships",5
"1240","technologeeks training & consulting",8
"1241","techsearch",7
"1242","tecmotiv (usa)",6
"1243","tecolote research",16
"1244","teel technologies",5
"1245","teer coating",9
"1246","telecomm strategies",5
"1247","teledyne reynolds",42
"1248","telemetry & communications systems",11
"1249","telephonics",12
"1250","telerik",6
"1251","telstra",6
"1252","terma a/s",6
"1253","terrago technologies",13
"1254","terrain consulting",12
"1255","terralink international",5
"1256","terrasim",24
"1257","thales uk",186
"1258","the administrative centre for china's agenda 21",11
"1259","the american school in japan",5
"1260","the asia foundation",19
"1261","the corporate executive board",43
"1262","the diplomat radisson",6
"1263","the economist$",12
"1264","the escal institute",6
"1265","the federal executive institute",5
"1266","the fiber optic marketplace",9
"1267","the frame group",5
"1268","the galleria investments",9
"1269","the idl group",20
"1270","the iet",8
"1271","the ritz carlton",5
"1272","the robert gordon university",5
"1273","the royal mint",6
"1274","the saint christopher school associ",5
"1275","the springfield centre for business in development",38
"1276","the united kingdom hydrographic off",10
"1277","the university of glasgow",5
"1278","the university of the south pacific",5
"1279","the vintage aviator",5
"1280","the weather balloon",20
"1281","the welding institute",13
"1282","the worldfish centre",9
"1283","thermoanalytics",12
"1284","thomson reuters",99
"1285","thorlabs",7
"1286","thyssenkrupp marine systems",5
"1287","tibco software",20
"1288","times microwave systems",7
"1289","timetric",5
"1290","timor telecom",12
"1291","titus labs",12
"1292","tno innovation for life",8
"1293","tokyo international school",5
"1294","toll international",5
"1295","totex",16
"1296","townsville general hospital",11
"1297","track analysis systems",6
"1298","transaero",119
"1299","transfinite systems",8
"1300","transition solutions group",5
"1301","transplant connect",9
"1302","trelleborg industries",10
"1303","tresys technology",8
"1304","trijicon",25
"1305","trimble europe",6
"1306","tripwire",19
"1307","triumph actuation systems",16
"1308","triumph gear systems",12
"1309","triumph gear systems dba triu",66
"1310","triumph gear systems!dba",10
"1311","triumph gear systems$",17
"1312","trivec-avant",14
"1313","trl technology",53
"1314","truechoice solutions",7
"1315","tug technologies",5
"1316","uk ministry of defence",7
"1317","ultra electronics$",53
"1318","unep trust fund",7
"1319","united aviation services",8
"1320","united nations development program",10
"1321","united states pharmacopoeia",5
"1322","united technologies corporation",5
"1323","unity resources group",37
"1324","universal propulsion",9
"1325","universal propulsion company di",8
"1326","universal systems caris",35
"1327","universal weather and aviation",7
"1328","universalia management group",5
"1329","university college london",5
"1330","university corporation for atmospheric research",9
"1331","university of maryland",5
"1332","university of melbou",5
"1333","university of oxford",18
"1334","university of south pacific",5
"1335","university of southampton",8
"1336","university of the south pacific",10
"1337","university of wisconsin-madison",5
"1338","unspam technologies",6
"1339","upov",7
"1340","uptodate",9
"1341","us centaf 9th af-fma",6
"1342","us dept of the interior - usgs",6
"1343","us geological survey",5
"1344","usg products",5
"1345","ustranscom-dcd dba defense courier",12
"1346","verizon wireless",13
"1347","viasat",146
"1348","vimala menon  a/p pb menon",5
"1349","vinci technologies",6
"1350","virtual graffiti",7
"1351","vision systems international",6
"1352","vmware",103
"1353","volt services group",21
"1354","vt aepco",5
"1355","w p holman clinic",11
"1356","wais naeem engineering group",8
"1357","walker & wright",9
"1358","wallop defence systems",8
"1359","walter graham melvyn",10
"1360","waterfall solutions",5
"1361","waterfront foodworld",8
"1362","weatherhaven",11
"1363","wegmann usa",6
"1364","weibel scientific a/s",9
"1365","wells fargo bank na",5
"1366","wescam",14
"1367","westar aerospace & defense group in",18
"1368","westland helicopters",52
"1369","wfel",43
"1370","widayanto gatot",5
"1371","wik wissenschaftliches institute",5
"1372","wik-consult",7
"1373","wildlife computers",16
"1374","wiley subscription service$",17
"1375","will-burt company the div mast bus",6
"1376","william s hein$",5
"1377","wilson cook and co",7
"1378","winning moves",17
"1379","winter john",7
"1380","wise pearl",48
"1381","wolf technical engineering",8
"1382","wolters kluwer health",7
"1383","wood mackenzie",15
"1384","woods hole oceanographic institution",8
"1385","world agroforestry centre",10
"1386","world customs organisation",6
"1387","world fuel services",398
"1388","world health organisation",8
"1389","world intellectual property organisation",16
"1390","world meteorological organisation",13
"1391","world money fair berlin",8
"1392","world road association (piarc)",11
"1393","worldfish centre",7
"1394","x-ways software technology",7
"1395","xsens technologies",5
"1396","zenoss",16
"1397","zeon international",5
"1398","zetaware",6
"1399","zf luftfahrttechnik",30
"1400","zoho",16
